Aménagement cycle;Aménagement cycle simplifié;Avancement;Sens de circulation vélo;Hors voirie;Nom de la commune;Création de voie pour cycle;Longueur en mètres;Date de mise à jour de la donnée;geo_shape;geo_point_2d
Piste cyclable bidirectionnelle (hors voirie);Piste cyclable;Réalisé;Deux;OUI;Dijon;OUI;330.703179502156;2021-02-22T02:00:00+01:00;"{""coordinates"": [[5.007840154716058, 47.32346444636706], [5.007386814816875, 47.32337711754666], [5.00711232822009, 47.323338351082846], [5.0070040800108435, 47.32331230581442], [5.006547014939851, 47.32324942025076], [5.006387725165696, 47.323227503801675], [5.00618960186444, 47.32321563155603], [5.005880336830643, 47.3232050753816], [5.005440795639355, 47.323244957722274], [5.005108718662271, 47.323290986074404], [5.00485054408492, 47.3233450097733], [5.0045794294968635, 47.323422383518626], [5.004276785837215, 47.323539541085765], [5.004144849256266, 47.323600526739085], [5.004042069550843, 47.323648034926805], [5.003881278775326, 47.32373411801313], [5.0037630321733175, 47.323808981462996], [5.003745244994805, 47.323822243821134]], ""type"": ""LineString""}";47.32336631385466, 5.00575731279803
Bande cyclable;Bande cyclable;Réalisé;Un;NON;Dijon;;140.431710040788;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.052092469574388, 47.32202716727964], [5.052782489729371, 47.323200023163714]], ""type"": ""LineString""}";47.32261359522169, 5.05243747965188
Bande cyclable;Bande cyclable;Réalisé;Un;NON;Dijon;;139.45273787133;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.052137972748702, 47.32331318917123], [5.0515865496354255, 47.32211612019742]], ""type"": ""LineString""}";47.322714654684326, 5.051862261192063
Bande cyclable;Bande cyclable;Réalisé;Un;NON;Dijon;;23.6279033739771;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.052231452653136, 47.32481058231991], [5.052233060715523, 47.32459804557939]], ""type"": ""LineString""}";47.32470431394965, 5.052232256684329
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;18.886673885809397;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.051481420694021, 47.32839975962732], [5.0515574155969265, 47.328478699464775], [5.051589224605965, 47.32855108262644]], ""type"": ""LineString""}";47.32847094143985, 5.051542009993553
Piste cyclable bidirectionnelle (hors voirie);Piste cyclable;Réalisé;Deux;OUI;Quetigny;;34.6631433734738;2021-01-22T02:00:00+01:00;"{""coordinates"": [[5.121698029066292, 47.31245663529257], [5.121582217077313, 47.31215494174423]], ""type"": ""LineString""}";47.3123057885184, 5.121640123071803
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Chevigny-Saint-Sauveur;;186.271815611514;2021-01-22T02:00:00+01:00;"{""coordinates"": [[5.122077750519939, 47.303412074648676], [5.119652912546709, 47.30370702280058]], ""type"": ""LineString""}";47.30355954872463, 5.120865331533324
Piste cyclable bidirectionnelle (hors voirie);Piste cyclable;Réalisé;Deux;OUI;Quetigny;;68.5837251782812;2021-01-22T02:00:00+01:00;"{""coordinates"": [[5.122516239185554, 47.314506001313426], [5.122754901416255, 47.31510119933488]], ""type"": ""LineString""}";47.314803600324154, 5.122635570300904
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Quetigny;;37.3606398121071;2021-01-22T02:00:00+01:00;"{""coordinates"": [[5.112808978416414, 47.314267660443335], [5.112790880120138, 47.31460350525113]], ""type"": ""LineString""}";47.31443558284723, 5.1127999292682755
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Ahuy;;150.396819080622;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.029197857286052, 47.3633802548505], [5.028305928419144, 47.364439583495376], [5.028210746287356, 47.36455514742144]], ""type"": ""LineString""}";47.363967232893486, 5.028703739510472
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Ahuy;;165.29622293489;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.027568645275566, 47.3653348406185], [5.026885160033668, 47.36616443154778], [5.02645829284137, 47.366615378155736]], ""type"": ""LineString""}";47.36598407632827, 5.027023619822771
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Ahuy;;117.579360282725;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.025178812887596, 47.36993139098806], [5.025177191379438, 47.37006362238344], [5.025200593806975, 47.37052828616792], [5.02524161829766, 47.37078384325548], [5.0252894527963425, 47.370984632116276]], ""type"": ""LineString""}";47.37046078088201, 5.025210268963334
Piste cyclable bidirectionnelle (hors voirie);Piste cyclable;Réalisé;Deux;OUI;Quetigny;;31.7042374723001;2021-01-22T02:00:00+01:00;"{""coordinates"": [[5.121805044600813, 47.31273238133682], [5.121698029066292, 47.31245663529257]], ""type"": ""LineString""}";47.312594508314696, 5.121751536833552
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;63.932296351004794;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.051589224605965, 47.32855108262644], [5.051606713840957, 47.32860214365516], [5.051610195400113, 47.328654378281925], [5.051598759285052, 47.32870611912177], [5.0515723045562195, 47.32875540002728], [5.051533224371531, 47.32880047677993], [5.0514814352713575, 47.3288396645616], [5.051420155575529, 47.3288711999566], [5.051350995087486, 47.328894200340635], [5.051276391469106, 47.328907765650804], [5.051199619619658, 47.3289112562716], [5.051124458915643, 47.32891386511073]], ""type"": ""LineString""}";47.32880438001657, 5.05143446464787
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Quetigny;;97.65791322037079;2021-01-22T02:00:00+01:00;"{""coordinates"": [[5.104888759026893, 47.312403074747834], [5.104781743642946, 47.31236513471093], [5.104666881002709, 47.31233539889891], [5.104531416397826, 47.31230714089525], [5.10440234546643, 47.312290543207375], [5.104262899226908, 47.31228122581951], [5.1040973942234675, 47.31227984598682], [5.103908761340221, 47.31229505255104], [5.103713862522393, 47.31233305141994], [5.103640164147895, 47.31234747348785]], ""type"": ""LineString""}";47.31231304343795, 5.104267640909826
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Quetigny;;61.0006932173725;2021-01-22T02:00:00+01:00;"{""coordinates"": [[5.112753539695269, 47.31528593843746], [5.112724122636404, 47.31583429317883]], ""type"": ""LineString""}";47.31556011580815, 5.112738831165837
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;51.0126605212863;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.050113108334726, 47.32827325174099], [5.050706685402639, 47.328491645122966]], ""type"": ""LineString""}";47.32838244843198, 5.050409896868683
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;65.5775131393376;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.0460990353897, 47.326780627874435], [5.046859710474038, 47.327064315869]], ""type"": ""LineString""}";47.32692247187172, 5.046479372931869
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;68.0749958214468;2021-01-22T02:00:00+01:00;"{""coordinates"": [[5.084515849903878, 47.30870479159014], [5.0853637927354205, 47.30849896575791]], ""type"": ""LineString""}";47.30860187867403, 5.084939821319649
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Ahuy;;248.421898379274;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.02645829284137, 47.366615378155736], [5.026376722232861, 47.36672190446668], [5.0261080135144445, 47.36707466712424], [5.025675753434379, 47.36827361301359], [5.025541491446905, 47.36874784803102]], ""type"": ""LineString""}";47.36764572844607, 5.025928699323803
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;125.56771684137;2021-01-22T02:00:00+01:00;"{""coordinates"": [[5.080413523353818, 47.31295950494647], [5.080379638646864, 47.31271841341077], [5.080667717476608, 47.31185298381017]], ""type"": ""LineString""}";47.312402261391675, 5.080496900829066
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Chevigny-Saint-Sauveur;;318.350156412226;2021-01-22T02:00:00+01:00;"{""coordinates"": [[5.10058907910453, 47.30357032324935], [5.102294294992383, 47.30325196979755], [5.103083109829796, 47.30316881095158], [5.103970739836249, 47.30317328867846], [5.104722077100765, 47.303228774051746]], ""type"": ""LineString""}";47.30328385746844, 5.102647866075806
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Quetigny;;31.3817871474841;2021-01-22T02:00:00+01:00;"{""coordinates"": [[5.1126841384222095, 47.31626991140837], [5.112716414952128, 47.31598847751853]], ""type"": ""LineString""}";47.31612919446345, 5.1127002766871685
Voie verte;Voie partagée cycles/piétons;Réalisé;Deux;OUI;;OUI;154.915226201402;2021-01-22T02:00:00+01:00;"{""coordinates"": [[5.110866962494127, 47.317476423880805], [5.110875128789569, 47.317448357970044], [5.110854974721985, 47.317407298874066], [5.11075646880155, 47.31725959763317], [5.110747078158003, 47.31722284593635], [5.110759829611925, 47.317176685377355], [5.110808381932374, 47.31713167558885], [5.110876784329555, 47.3170863046627], [5.110979946490444, 47.31704930684387], [5.111230981037163, 47.31696729427928], [5.111349512306548, 47.31695072997787], [5.111450155147149, 47.31695069992296], [5.111499756161743, 47.31696600777898], [5.111535153001301, 47.31699057999814], [5.111549660193885, 47.31702273585308], [5.1115888508256635, 47.31704273561873], [5.11163673853488, 47.31704816830955], [5.1117053031609645, 47.3170406175718], [5.111750910530049, 47.31702177700199], [5.111807947405802, 47.31695679995758], [5.111851196419544, 47.31684434371092], [5.1118614080302684, 47.31680093184813], [5.111859672816307, 47.31675683559548]], ""type"": ""LineString""}";47.31706097970315, 5.1112611943790744
Voie verte;Voie partagée cycles/piétons;Réalisé;Deux;OUI;;OUI;199.14934807508;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.0463986113792965, 47.29300318733353], [5.046426040952881, 47.29306304046922], [5.0464666983292945, 47.293122659351056], [5.046438077925794, 47.293135772219465], [5.046475609391487, 47.29318283897404], [5.046551192865942, 47.29322112977194], [5.046565194667852, 47.29320647437669], [5.046648233911736, 47.293232025773555], [5.0467220145764715, 47.293257740820415], [5.046813403113425, 47.29329395166662], [5.046902249390856, 47.2933329089721], [5.047016002416535, 47.29340024439066], [5.04714926915595, 47.2934933506273], [5.0472338198783495, 47.29355849930175], [5.047283497918285, 47.29361165589523], [5.047336987210104, 47.29369536363089], [5.0473910259340355, 47.29379346985017], [5.047355722257183, 47.29380489941661], [5.047378876890957, 47.29385672258429], [5.047397753814605, 47.293900516043585], [5.047432008469454, 47.29389630926164], [5.047459714966245, 47.293963361379944], [5.047504788960255, 47.29403460921466], [5.0475552564668655, 47.2941084642309], [5.047638737000887, 47.29428439867178], [5.04767683480323, 47.294380985010925]], ""type"": ""LineString""}";47.29360736057765, 5.0471033675694015
Piste cyclable bidirectionnelle (hors voirie);Piste cyclable;Réalisé;Deux;OUI;Dijon;OUI;171.63267766562;2021-02-22T02:00:00+01:00;"{""coordinates"": [[5.008049998033068, 47.32521503379642], [5.007865370723484, 47.325129975871334], [5.0079189746165, 47.32507591864083], [5.00796501494858, 47.32489051555034], [5.0079036804351045, 47.32470246613512], [5.008349573084332, 47.32380593889893]], ""type"": ""LineString""}";47.32455237956281, 5.008051459123312
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;55.53104618139301;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.034194090415506, 47.31657156260785], [5.034925867200054, 47.316614812039816]], ""type"": ""LineString""}";47.31659318732384, 5.0345599788077795
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;14.872786977900299;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.034925867200054, 47.316614812039816], [5.035121724253138, 47.31662739718064]], ""type"": ""LineString""}";47.31662110461022, 5.035023795726596
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Un;NON;Dijon;;36.0424579190987;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.057823537931176, 47.31323064258581], [5.0582986097864735, 47.313203704163264]], ""type"": ""LineString""}";47.31321717337454, 5.058061073858825
Couloir Bus/Vélo;Couloir Bus;Réalisé;Inverse;NON;Dijon;;71.58950471917909;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.043242337100088, 47.3192555439141], [5.043310491087359, 47.31885356173434], [5.04335056233662, 47.318615794621756]], ""type"": ""LineString""}";47.31893568170717, 5.043296523306684
Piste cyclable bidirectionnelle + Vélorue;Piste cyclable;Réalisé;Trois;NON;Dijon;;114.64345561758;2021-02-22T02:00:00+01:00;"{""coordinates"": [[5.028339507933969, 47.31391816739576], [5.028901856728021, 47.31487588447328]], ""type"": ""LineString""}";47.314397025934525, 5.028620682330995
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;335.735272089723;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.063884433423854, 47.355830560749915], [5.0634020950488, 47.35478239701097], [5.0630599735117015, 47.353999536783164], [5.062792405875901, 47.35290946109301]], ""type"": ""LineString""}";47.35439263162673, 5.063273668469539
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;357.04401163557105;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.049895321459656, 47.362048412583334], [5.050197477322816, 47.36171103797068], [5.050663786061087, 47.361419340127775], [5.052940065439829, 47.36050478108091], [5.053703220899363, 47.36022492570482]], ""type"": ""LineString""}";47.36102341337008, 5.051728363934518
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Saint-Apollinaire;;99.39706878746479;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.080124538497357, 47.3469893621944], [5.081321668388562, 47.346618674670374]], ""type"": ""LineString""}";47.34680401843239, 5.08072310344296
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Saint-Apollinaire;;165.91709222672;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.08317389245252, 47.34604572479932], [5.085172474507779, 47.34542745349528]], ""type"": ""LineString""}";47.3457365891473, 5.08417318348015
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;;Chevigny-Saint-Sauveur;;14.2390093282503;2021-02-08T02:00:00+01:00;"{""coordinates"": [[5.1287741447098085, 47.28934986193348], [5.128874070521063, 47.289458412489]], ""type"": ""LineString""}";47.289404137211235, 5.128824107615436
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;46.381980604213;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.040202047714573, 47.29958325131224], [5.040253866183352, 47.299430573414256], [5.040343598357178, 47.29917729826341]], ""type"": ""LineString""}";47.299380055361645, 5.0402721903649885
Voie partagée cycles/piétons;Voie partagée cycles/piétons;Réalisé;Deux;NON;Marsannay-la-Côte;;44.2295525115279;2021-02-05T02:00:00+01:00;"{""coordinates"": [[5.005567936629045, 47.28074174770466], [5.005306324263753, 47.28038594004586]], ""type"": ""LineString""}";47.28056384387526, 5.005437130446399
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;121.962006106492;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.0514890307437295, 47.341281966630426], [5.052417313322102, 47.340384504953825]], ""type"": ""LineString""}";47.340833235792125, 5.051953172032915
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;115.488414609648;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.067657534821159, 47.33965911008881], [5.069111593992755, 47.33997892970086]], ""type"": ""LineString""}";47.33981901989483, 5.068384564406957
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;36.2789404966573;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.0480586891304675, 47.33158248667025], [5.04797371155527, 47.33126130262059]], ""type"": ""LineString""}";47.33142189464541, 5.048016200342868
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;16.1491362991957;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.048307941119325, 47.33254213152444], [5.048270593391409, 47.33239910204438]], ""type"": ""LineString""}";47.332470616784406, 5.048289267255367
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;51.8767974188847;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.046630024945935, 47.34612208585869], [5.04701769014062, 47.345736945964646]], ""type"": ""LineString""}";47.34592951591166, 5.046823857543277
Piste cyclable unidirectionnelle + couloir bus/vélo;Piste cyclable;Réalisé;Deux;NON;Talant;;55.055904669024;2021-02-01T02:00:00+01:00;"{""coordinates"": [[4.999368724963457, 47.3429093984216], [4.9990200945213745, 47.342755701726944], [4.998759326275376, 47.342637951039514]], ""type"": ""LineString""}";47.34277434018837, 4.99906372869539
Double sens cyclable;Double sens cyclable;Réalisé;Inverse;NON;Dijon;;77.5066900700836;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.0388317313122, 47.324364761607555], [5.037844304309386, 47.32455266388112]], ""type"": ""LineString""}";47.32445871274434, 5.038338017810793
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;179.723633551211;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.047305157419637, 47.36635848657816], [5.049539230070787, 47.36580198099436]], ""type"": ""LineString""}";47.36608023378626, 5.048422193745212
Double sens cyclable;Double sens cyclable;Réalisé;Inverse;NON;Dijon;;151.379573447891;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.043125045064658, 47.31996132259955], [5.0441730777534275, 47.319959278659816], [5.0451256919099325, 47.319918957786186]], ""type"": ""LineString""}";47.31995020984286, 5.044125591322542
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Un;NON;Plombières-lès-Dijon;;47.009019425839696;2021-02-01T02:00:00+01:00;"{""coordinates"": [[4.984329469288569, 47.33539613014015], [4.984364343116602, 47.335414844907504], [4.984403325720677, 47.33542933805594], [4.98444532048874, 47.33543920195745], [4.984489148327153, 47.33544415997922], [4.984533578388091, 47.33544407405286], [4.984577363819179, 47.33543894495889], [4.984619275037139, 47.33542891715245], [4.984658133920114, 47.33541427277524], [4.9846928505460015, 47.33539542292417], [4.984722447923624, 47.335372896426904], [4.984746097239864, 47.335347326636985], [4.98476313299488, 47.33531943137632], [4.9847730773973264, 47.335289992718785], [4.984775651630931, 47.335259839698985]], ""type"": ""LineString""}";47.335399800791976, 4.984582469491657
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;458.19487798122805;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.057658377632577, 47.34083626940533], [5.057248076888053, 47.33949133394021], [5.056837798191311, 47.33814639648759], [5.056426669162569, 47.33680063307314]], ""type"": ""LineString""}";47.33881839765867, 5.057042698907665
Piste cyclable unidirectionnelle + couloir bus/vélo;Piste cyclable;Réalisé;Deux;NON;Fontaine-lès-Dijon;;68.7094579064629;2021-02-01T02:00:00+01:00;"{""coordinates"": [[5.021035786500981, 47.33909764893265], [5.02045558647791, 47.339573517229745]], ""type"": ""LineString""}";47.3393355830812, 5.0207456864894455
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;166.557197429293;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.062792405875901, 47.35290946109301], [5.062766907607414, 47.35190734089449], [5.062769732252117, 47.35141139779421]], ""type"": ""LineString""}";47.35216048042935, 5.062775904391801
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;306.803481624521;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.062769732252117, 47.35141139779421], [5.062773897335151, 47.350682252361125], [5.06278413565783, 47.349455961562605], [5.0627902580175235, 47.34865167066678]], ""type"": ""LineString""}";47.350031530933585, 5.062779497831261
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;249.60086157137002;2022-01-01T02:00:00+01:00;"{""coordinates"": [[5.003312962574796, 47.31734671182604], [5.0058251595165, 47.31880361500184]], ""type"": ""LineString""}";47.31807516341394, 5.004569061045649
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;165.773243748242;2022-01-01T02:00:00+01:00;"{""coordinates"": [[5.0058251595165, 47.31880361500184], [5.006278680254761, 47.31905598206868], [5.0075218691529875, 47.319748283361825]], ""type"": ""LineString""}";47.3192758967522, 5.006673543520678
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;372.12278968168204;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.062797806212874, 47.34771317982309], [5.062799570404557, 47.34747209081498], [5.0628220687989165, 47.346437335014976], [5.062843696381557, 47.34540175583761], [5.0628653231229395, 47.3443661763559]], ""type"": ""LineString""}";47.346039661874784, 5.062830290439584
Piste cyclable bidirectionnelle (hors voirie);Piste cyclable;Réalisé;Deux;OUI;;OUI;198.331234254647;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.054848574937838, 47.28877707447198], [5.054973980196007, 47.2886992073202], [5.055543615180237, 47.28836671982367], [5.055761685320587, 47.288254790818165], [5.056053132732305, 47.288123549323636], [5.056203133851417, 47.28806595769817], [5.0563755854148935, 47.288007066756435], [5.056797397184635, 47.28782398295419], [5.056855295482243, 47.28778063129465], [5.056890041329328, 47.28775479941067], [5.056953816301351, 47.28772665268078]], ""type"": ""LineString""}";47.28822784952557, 5.055890044416618
Piste cyclable bidirectionnelle (hors voirie);Piste cyclable;Réalisé;Deux;OUI;;OUI;95.60436518580201;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.05389874221176, 47.28934322710627], [5.05397815051412, 47.28930850063831], [5.054246090579744, 47.28915066371786], [5.054848574937838, 47.28877707447198]], ""type"": ""LineString""}";47.2890668947864, 5.054377335533523
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;166.967257808198;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.047305157419637, 47.36635848657816], [5.046986677408768, 47.36494111806586], [5.04697540979164, 47.364873439859785]], ""type"": ""LineString""}";47.36561631535424, 5.04713848179076
Piste cyclable bidirectionnelle (hors voirie);Piste cyclable;Réalisé;Deux;OUI;;OUI;391.15203910820105;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.056953816301351, 47.28772665268078], [5.057017591171413, 47.28769850501613], [5.058107327120922, 47.28719288250927], [5.058831740076837, 47.286859433517535], [5.059747586098446, 47.28647935534045], [5.059970021756713, 47.28637814706938], [5.06000375274919, 47.286360437286994], [5.060287807574699, 47.28620950408102], [5.060400663445392, 47.28614986490386], [5.0607013229417275, 47.285983326077776], [5.0610191150286665, 47.28578046051753], [5.061151817479346, 47.285686246653135]], ""type"": ""LineString""}";47.28675002698048, 5.059076627895257
Piste cyclable bidirectionnelle (hors voirie);Piste cyclable;Réalisé;Deux;OUI;;OUI;134.046105059377;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.052586310325211, 47.290119309616365], [5.052684411536053, 47.29008875719239], [5.052843302512903, 47.29002110611964], [5.053086033277488, 47.28989613853784], [5.053168620951083, 47.28984064421468], [5.053190487097973, 47.289824047092104], [5.053216390156106, 47.28980918035046], [5.053231918876692, 47.2897998995185], [5.053330447097388, 47.28974592403386], [5.053849035509195, 47.289427858120185], [5.053907812593711, 47.289372784465066], [5.05389874221176, 47.28934322710627]], ""type"": ""LineString""}";47.28976675903251, 5.05327571433203
Voie verte;Voie partagée cycles/piétons;Réalisé;Deux;OUI;;OUI;210.62989445711202;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.04767683480323, 47.294380985010925], [5.0476670372900045, 47.294471212813065], [5.047656504983713, 47.29450741994205], [5.047644580447475, 47.294541851247715], [5.047616454805892, 47.29460268413753], [5.047591920581765, 47.29465354767612], [5.047554672876213, 47.294718143061274], [5.047519830539353, 47.29477639315551], [5.047451726406555, 47.29486494758868], [5.047354124637247, 47.294978336700396], [5.0472929291361215, 47.29503975310017], [5.047283944132622, 47.29504711612005], [5.047272380773685, 47.295056325574755], [5.047191548794198, 47.29512349106535], [5.047026619707185, 47.295241670163634], [5.0468190660835255, 47.295387617400316], [5.046673326447561, 47.295488347888345], [5.04657488323142, 47.29554501709993], [5.046560606949598, 47.2955524732218], [5.0464243172206045, 47.29562331810863], [5.046289452610655, 47.29569683972059], [5.046157267039931, 47.295771213393074], [5.046030133024692, 47.2958391955382]], ""type"": ""LineString""}";47.295211668615956, 5.046965921397583
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;38.99359975994749;2021-08-30T04:00:00+02:00;"{""coordinates"": [[5.070590138233026, 47.32924933483866], [5.070646888784838, 47.32925482783429], [5.070704210397215, 47.3292545164613], [5.0707608261488994, 47.329248408374546], [5.070815472020816, 47.32923663877694], [5.070866933965412, 47.329219470652696], [5.070914064787897, 47.32919728636486], [5.070955812964322, 47.32917057993814], [5.0709912499977765, 47.32913994576845], [5.071019585869707, 47.329106067546114]], ""type"": ""LineString""}";47.329214927417375, 5.070818670733897
Voie verte;Voie partagée cycles/piétons;Réalisé;Deux;OUI;Ouges;NON;923.722779108038;2022-05-01T04:00:00+02:00;"{""coordinates"": [[5.089913156275678, 47.25463370279493], [5.090390156910075, 47.25425314241572], [5.097815196601581, 47.24830159436654]], ""type"": ""LineString""}";47.2514681582428, 5.093864584006986
Couloir Bus/Vélo;Couloir Bus;Réalisé;Un;NON;Dijon;;66.18231855631839;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.037515427983421, 47.321604381944624], [5.0379475119177, 47.32212215926572]], ""type"": ""LineString""}";47.32186327060517, 5.037731469950561
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;41.62313398928529;2022-03-01T02:00:00+01:00;"{""coordinates"": [[5.031669391288858, 47.31768535872887], [5.031247220991722, 47.31792570131894]], ""type"": ""LineString""}";47.317805530023904, 5.031458306140291
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;172.85172521912202;2022-03-01T02:00:00+01:00;"{""coordinates"": [[5.030433947180272, 47.31823520877773], [5.030109805005916, 47.318336284976525], [5.029683779544313, 47.3184511252739], [5.028315934746316, 47.318820227868684]], ""type"": ""LineString""}";47.31853302564596, 5.029376484462997
Voie verte;Voie partagée cycles/piétons;Réalisé;Deux;OUI;Bretenière;NON;964.7248341047631;2022-05-01T04:00:00+02:00;"{""coordinates"": [[5.105640852215779, 47.24194947263122], [5.106119195141848, 47.24161507868122], [5.108942492014377, 47.23934622746808], [5.113051589450367, 47.236073118740215], [5.113451079336442, 47.23570134997672], [5.113911132563534, 47.23535076439572]], ""type"": ""LineString""}";47.23866929444584, 5.109791510378355
Couloir Bus/Vélo;Couloir Bus;Réalisé;Deux;NON;Chenôve;;67.1589950553163;2021-11-01T02:00:00+01:00;"{""coordinates"": [[5.018360089761853, 47.29635125794501], [5.017991030429175, 47.29580178533813]], ""type"": ""LineString""}";47.29607652164157, 5.018175560095514
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Un;;Ahuy;;24.366057225732497;2023-07-10T04:00:00+02:00;"{""coordinates"": [[5.0337029087750205, 47.357847812094505], [5.033707798774566, 47.35787500663779], [5.033718724947417, 47.357901379318236], [5.0337354306864315, 47.357926313784326], [5.033757527032306, 47.35794923021243], [5.033784500921609, 47.357969593259675], [5.033815721167301, 47.35798692995554], [5.033850461160655, 47.35800083470025], [5.033887911366625, 47.35801098434195]], ""type"": ""LineString""}";47.35794792302391, 5.033777112808941
