Aménagement cycle;Aménagement cycle simplifié;Avancement;Sens de circulation vélo;Hors voirie;Nom de la commune;Création de voie pour cycle;Longueur en mètres;Date de mise à jour de la donnée;geo_shape;geo_point_2d
Bande cyclable + double sens;Bande cyclable;Réalisé;Deux;NON;Fontaine-lès-Dijon;;75.47414676054969;2021-02-18T02:00:00+01:00;"{""coordinates"": [[5.032130116911879, 47.33936409723849], [5.03184290430525, 47.33933029073895], [5.031426892418853, 47.33928598406939], [5.03114610923505, 47.339248369604796]], ""type"": ""LineString""}";47.339307825758056, 5.031637912528239
Bande cyclable;Bande cyclable;Réalisé;Un;NON;Dijon;;92.41495582344879;2021-02-22T02:00:00+01:00;"{""coordinates"": [[5.0154729325537755, 47.313618307083594], [5.016683128150887, 47.313735241629814]], ""type"": ""LineString""}";47.31367677435671, 5.016078030352331
Couloir Bus/Vélo;Couloir Bus;Réalisé;Deux;NON;Chenôve;;174.37382516459903;2021-11-01T02:00:00+01:00;"{""coordinates"": [[5.019363027416897, 47.29809659444238], [5.019293029821783, 47.2979705236548], [5.018546871149997, 47.29662959777041]], ""type"": ""LineString""}";47.297363066120916, 5.018955003229931
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Longvic;;63.7352660157624;2022-09-01T04:00:00+02:00;"{""coordinates"": [[5.053338343677597, 47.29757755067164], [5.053009093316824, 47.298105307181835]], ""type"": ""LineString""}";47.29784142892674, 5.05317371849721
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Longvic;;75.37823806723;2022-09-01T04:00:00+02:00;"{""coordinates"": [[5.0519871025735466, 47.29989797691798], [5.05234695653883, 47.299265655712304]], ""type"": ""LineString""}";47.29958181631513, 5.0521670295561885
Couloir Bus/Vélo;Couloir Bus;Réalisé;Deux;NON;Chenôve;;51.9483358009667;2021-11-01T02:00:00+01:00;"{""coordinates"": [[5.02001178095179, 47.29925892198272], [5.01976578569891, 47.29882262091875]], ""type"": ""LineString""}";47.299040771450734, 5.019888783325349
Couloir Bus/Vélo;Couloir Bus;Réalisé;Deux;NON;Chenôve;;19.8463384242535;2021-11-01T02:00:00+01:00;"{""coordinates"": [[5.017991030429175, 47.29580178533813], [5.017881194386381, 47.29563965113632]], ""type"": ""LineString""}";47.29572071823722, 5.017936112407778
Couloir Bus/Vélo;Couloir Bus;Réalisé;Deux;NON;Chenôve;;42.1179572280043;2021-11-01T02:00:00+01:00;"{""coordinates"": [[5.02001178095179, 47.29925892198272], [5.0201918552512, 47.29961743687516]], ""type"": ""LineString""}";47.29943817942894, 5.0201018181014945
Couloir Bus/Vélo;Couloir Bus;Réalisé;Deux;NON;Chenôve;;59.5630646025706;2021-11-01T02:00:00+01:00;"{""coordinates"": [[5.015705988476246, 47.29241121776739], [5.015380580637612, 47.29192330790023]], ""type"": ""LineString""}";47.29216726283381, 5.015543284556929
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Longvic;;132.20993083202902;2022-09-01T04:00:00+02:00;"{""coordinates"": [[5.055821639017085, 47.29443433967932], [5.054906547466346, 47.2954476466761]], ""type"": ""LineString""}";47.29494099317772, 5.055364093241716
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Longvic;;87.9009603229111;2022-09-01T04:00:00+02:00;"{""coordinates"": [[5.050817846798113, 47.30141365982216], [5.0514126724606685, 47.300734336773544]], ""type"": ""LineString""}";47.30107399829785, 5.051115259629391
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Longvic;;53.4644399791113;2022-09-01T04:00:00+02:00;"{""coordinates"": [[5.053009093316824, 47.298105307181835], [5.052753195500048, 47.29855362587039]], ""type"": ""LineString""}";47.29832946652611, 5.0528811444084365
Couloir Bus/Vélo;Couloir Bus;Réalisé;Deux;NON;Chenôve;;34.0145953868336;2021-11-01T02:00:00+01:00;"{""coordinates"": [[5.018360089761853, 47.29635125794501], [5.018546871149997, 47.29662959777041]], ""type"": ""LineString""}";47.29649042785771, 5.018453480455925
Couloir Bus/Vélo;Couloir Bus;Réalisé;Deux;NON;Chenôve;;472.84206228061703;2021-11-01T02:00:00+01:00;"{""coordinates"": [[5.015243845419264, 47.29171904230395], [5.014412320302877, 47.290469232868766], [5.013117913900047, 47.288527110227726], [5.0126645880401615, 47.28784456536848]], ""type"": ""LineString""}";47.28978187633692, 5.013954107463263
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Longvic;;29.9319009668614;2022-09-01T04:00:00+02:00;"{""coordinates"": [[5.0541588082699525, 47.29634266083612], [5.053969307711587, 47.29657903843182]], ""type"": ""LineString""}";47.296460849633974, 5.05406405799077
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Longvic;;42.3931459598129;2022-09-01T04:00:00+02:00;"{""coordinates"": [[5.053557338196001, 47.29722651565201], [5.053338343677597, 47.29757755067164]], ""type"": ""LineString""}";47.29740203316182, 5.053447840936799
Bande cyclable + double sens;Bande cyclable;Réalisé;Deux;NON;Dijon;;13.3267462292939;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.04067203047084, 47.31698229870813], [5.04049814629504, 47.31696260020529]], ""type"": ""LineString""}";47.31697244945671, 5.04058508838294
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;129.91293137178502;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.035121724253138, 47.31662739718064], [5.036833452529731, 47.31673044267725]], ""type"": ""LineString""}";47.31667891992895, 5.035977588391434
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;36.1884918909102;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.044437273308642, 47.32718057506475], [5.044125834634691, 47.32725537472887], [5.043978703247597, 47.32724180376618]], ""type"": ""LineString""}";47.32722763933585, 5.044209172518237
Bande cyclable + double sens;Bande cyclable;Réalisé;Deux;NON;Dijon;;80.90858366044979;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.04049814629504, 47.31696260020529], [5.039442520761257, 47.316842808724175]], ""type"": ""LineString""}";47.31690270446473, 5.0399703335281485
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;9.51186968897283;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.042217524848827, 47.33469768306816], [5.042238906599573, 47.33461336511681]], ""type"": ""LineString""}";47.33465552409248, 5.0422282157242
Couloir Bus/Vélo;Couloir Bus;Réalisé;Inverse;NON;Dijon;;74.4091106465833;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.043452696852423, 47.32123623691432], [5.043430644598052, 47.32093157606104], [5.043347670217789, 47.32087768754646], [5.043271810989209, 47.32081730372345], [5.04307439344436, 47.32065991522762]], ""type"": ""LineString""}";47.32091432122587, 5.04332785916429
Double sens cyclable;Double sens cyclable;Réalisé;Un;NON;Talant;;189.78676294128098;2021-02-01T02:00:00+01:00;"{""coordinates"": [[5.008934107412255, 47.32987435949688], [5.006786542509641, 47.33075905532239]], ""type"": ""LineString""}";47.33031670740964, 5.007860324960948
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;231.931510072457;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.0515409255059724, 47.31869455708177], [5.051106766689031, 47.31662926103436]], ""type"": ""LineString""}";47.31766190905806, 5.051323846097501
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;155.283377524093;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.052119253419029, 47.32131703436938], [5.051814112471454, 47.319935713067]], ""type"": ""LineString""}";47.320626373718184, 5.051966682945242
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;22.1204619753191;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.043077938396058, 47.31672839209259], [5.043213894022355, 47.316750522364046], [5.043366417880429, 47.31675679496668]], ""type"": ""LineString""}";47.316746922467836, 5.043221738410839
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;7.158831684709449;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.042527960924538, 47.3335076870099], [5.042544609045366, 47.33344429387525]], ""type"": ""LineString""}";47.33347599044258, 5.042536284984951
Double sens cyclable;Double sens cyclable;Réalisé;Inverse;NON;Dijon;;129.161133570135;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.034050142610338, 47.31888188449322], [5.03532651708884, 47.318389403083735], [5.035567454717601, 47.31839362153231]], ""type"": ""LineString""}";47.3185990824949, 5.034801946686934
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;46.794317392286;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.036946086356577, 47.32470514279303], [5.037501520651036, 47.32489102304725]], ""type"": ""LineString""}";47.32479808292014, 5.037223803503807
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;144.938407017522;2021-01-05T02:00:00+01:00;"{""coordinates"": [[5.016474314375508, 47.327138188769865], [5.017115236011281, 47.3269676482723], [5.01815120531357, 47.32716779026212], [5.018301843701174, 47.327152482426555]], ""type"": ""LineString""}";47.32706995327432, 5.017383861897148
Double sens cyclable;Double sens cyclable;Réalisé;Un;;Talant;;65.77923192630729;2021-02-01T02:00:00+01:00;"{""coordinates"": [[5.009688938507012, 47.329581549787015], [5.00940968680952, 47.32967238646205], [5.008934107412255, 47.32987435949688]], ""type"": ""LineString""}";47.32972031850202, 5.009308665694517
Double sens cyclable;Double sens cyclable;Réalisé;Inverse;NON;Dijon;;33.8523096644699;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.04307439344436, 47.32065991522762], [5.042967473426888, 47.32068857731146], [5.042660886166117, 47.320776760958836]], ""type"": ""LineString""}";47.32071761924739, 5.042867440091593
Couloir Bus/Vélo;Couloir Bus;Réalisé;Deux;NON;Dijon;;74.9674000472205;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.055121178564804, 47.306498302179], [5.055759452391355, 47.3070143259997]], ""type"": ""LineString""}";47.30675631408936, 5.055440315478079
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Fontaine-lès-Dijon;;88.0697575516756;2021-02-18T02:00:00+01:00;"{""coordinates"": [[5.0251857954320105, 47.3484334357635], [5.025850752310134, 47.34816033632472], [5.026235359884826, 47.348122140173416]], ""type"": ""LineString""}";47.348242461999185, 5.025701770023117
Double sens cyclable;Double sens cyclable;Réalisé;Inverse;NON;Dijon;;346.38515885350705;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.046146676406939, 47.32538709003931], [5.046649558278364, 47.324324058214465], [5.04771324784548, 47.3224603165293]], ""type"": ""LineString""}";47.323910238245034, 5.046904113514639
Double sens cyclable;Double sens cyclable;Réalisé;Inverse;NON;Dijon;;63.644322151651394;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.044379113928014, 47.32180492148282], [5.04452074791571, 47.32175927215208], [5.044631464851512, 47.32129947529419]], ""type"": ""LineString""}";47.32158986031804, 5.044545907623733
Double sens cyclable;Double sens cyclable;Réalisé;Inverse;NON;Dijon;;122.34484768575301;2021-02-22T02:00:00+01:00;"{""coordinates"": [[5.025827586547856, 47.31250772399237], [5.027180143261614, 47.31190358108336]], ""type"": ""LineString""}";47.31220565253786, 5.026503864904734
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;46.01222708943789;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.045762542780738, 47.34696877486469], [5.0461103106137655, 47.34662901323229]], ""type"": ""LineString""}";47.34679889404849, 5.045936426697252
Double sens cyclable;Double sens cyclable;Réalisé;Inverse;NON;Dijon;;41.58359844481959;2022-07-11T04:00:00+02:00;"{""coordinates"": [[5.045274383772977, 47.323978265839614], [5.045802722339301, 47.323874048955105]], ""type"": ""LineString""}";47.32392615739736, 5.045538553056139
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;11.180326976435001;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.040946368812602, 47.30422690809624], [5.040967798687671, 47.30412739937979]], ""type"": ""LineString""}";47.30417715373801, 5.040957083750136
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Ahuy;;92.0850253733886;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.0254866040591395, 47.3689403825891], [5.025402301768151, 47.36923935496636], [5.025230959545977, 47.36975017142367]], ""type"": ""LineString""}";47.36934669401603, 5.025363375032341
Bande cyclable;Bande cyclable;Réalisé;Un;NON;Dijon;;89.2553308772087;2021-02-01T02:00:00+01:00;"{""coordinates"": [[5.015118582013783, 47.325131000201914], [5.0159941856110635, 47.32459233530555]], ""type"": ""LineString""}";47.32486166775374, 5.015556383812424
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Un;NON;Dijon;;224.349686342283;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.067555207355514, 47.3336597806198], [5.068784964111564, 47.33426077124331], [5.069054002699068, 47.33439223493244], [5.069312342861971, 47.33449244978597], [5.069564423388122, 47.334486491098325], [5.0697726413238975, 47.33441575126865], [5.06993856502422, 47.334213813983276]], ""type"": ""LineString""}";47.33417578008238, 5.068765510761669
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;296.51581183621;2021-02-05T02:00:00+01:00;"{""coordinates"": [[5.028214723220751, 47.31101360522935], [5.02927592149857, 47.30919157886329], [5.029763847892909, 47.30856676179677]], ""type"": ""LineString""}";47.30976830004755, 5.0289569664624665
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;241.90510994892202;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.0437882462842385, 47.332120783690094], [5.0435756247076995, 47.329949590497115]], ""type"": ""LineString""}";47.331035187093605, 5.043681935495969
Itinéraire conseillé;;Réalisé;Un;NON;Saint-Apollinaire;;160.48724913082;2021-02-08T02:00:00+01:00;"{""coordinates"": [[5.088870125029596, 47.3340085323914], [5.088629172378538, 47.333989516620406], [5.088221214345316, 47.33395731772781], [5.086765808477297, 47.333815590407376]], ""type"": ""LineString""}";47.333916169925146, 5.087817604610994
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;97.8037421243686;2021-01-05T02:00:00+01:00;"{""coordinates"": [[5.01322172899605, 47.32787788330261], [5.014470297704348, 47.327646889233186]], ""type"": ""LineString""}";47.3277623862679, 5.013846013350198
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;139.515396621663;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.051814112471454, 47.319935713067], [5.0515409255059724, 47.31869455708177]], ""type"": ""LineString""}";47.31931513507438, 5.051677518988713
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Un;NON;Dijon;;144.25481841397902;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.051589224605965, 47.32855108262644], [5.053494980220975, 47.32862134745922]], ""type"": ""LineString""}";47.32858621504283, 5.0525421024134705
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;39.375733882254494;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.040815336615745, 47.30456185030828], [5.040884937587205, 47.304500193467945], [5.040946368812602, 47.30422690809624]], ""type"": ""LineString""}";47.304405288898465, 5.040899324899423
Itinéraire conseillé;;Réalisé;Deux;NON;Dijon;;52.860880206443795;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.063582895012051, 47.315367141415514], [5.064275154964529, 47.31530031657053]], ""type"": ""LineString""}";47.315333728993025, 5.0639290249882905
Itinéraire conseillé;;Réalisé;Deux;NON;Dijon;;69.42655788301491;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.054186118974567, 47.31678500627808], [5.054630834307728, 47.316811113556476], [5.055102697113362, 47.31681801715734]], ""type"": ""LineString""}";47.316806550417546, 5.054644223374178
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Chenôve;;23.438745574795597;2021-02-01T02:00:00+01:00;"{""coordinates"": [[5.0028027267076345, 47.2854653897001], [5.002496874952007, 47.285499169138056]], ""type"": ""LineString""}";47.28548227941908, 5.00264980082982
Double sens cyclable;Double sens cyclable;Réalisé;Inverse;NON;Dijon;;53.404197001453;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.062965212231026, 47.311431811232616], [5.063576596025366, 47.31119124342112]], ""type"": ""LineString""}";47.311311527326865, 5.063270904128196
