Localisation (adresse);Nombre d'arceaux;Type d'attache;Observations;Commune;Année;Type;Nombre d'arceaux supplémentaires;geo_shape;geo_point_2d
Place Roger Salengro;1;;;Dijon;0;Existant;;"{""coordinates"": [5.05601586206262, 47.30775112509796], ""type"": ""Point""}";47.30775112509796, 5.05601586206262
rue Henry Marc ratelier;;;;Chevigny-Saint-Sauveur;2023;Existant;;"{""coordinates"": [5.132788333636456, 47.302458333566875], ""type"": ""Point""}";47.302458333566875, 5.132788333636456
rue des clématites;4;Scellés;;Chenôve;2023;Existant;;"{""coordinates"": [5.010480969446159, 47.29959213851999], ""type"": ""Point""}";47.29959213851999, 5.010480969446159
8 rue Gimbsheim;9;Scellés;;Talant;2023;Existant;;"{""coordinates"": [4.992887546437619, 47.33880619231267], ""type"": ""Point""}";47.33880619231267, 4.992887546437619
4 rue Ernest Bouteiller;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.0719150004769675, 47.326185000119494], ""type"": ""Point""}";47.326185000119494, 5.0719150004769675
rue Angélique Ducoudray;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.071471734862191, 47.32340148580992], ""type"": ""Point""}";47.32340148580992, 5.071471734862191
32 AV de la  république;3;Boulonnés;;Chevigny-Saint-Sauveur;2023;Existant;;"{""coordinates"": [5.134823985511892, 47.29992957534508], ""type"": ""Point""}";47.29992957534508, 5.134823985511892
rue de la noirette cimetière;2;Scellés;arceaux  scellés;Saint-Apollinaire;2023;Existant;;"{""coordinates"": [5.08580920029505, 47.336731594709214], ""type"": ""Point""}";47.336731594709214, 5.08580920029505
place du marché râtelier;3;Scellés;;Marsannay-la-Côte;2023;Existant;;"{""coordinates"": [5.002631014377761, 47.27943491878865], ""type"": ""Point""}";47.27943491878865, 5.002631014377761
vers lycée boivin;4;Boulonnés;;Chevigny-Saint-Sauveur;2023;Existant;;"{""coordinates"": [5.127456667250179, 47.302391667045704], ""type"": ""Point""}";47.302391667045704, 5.127456667250179
29 Bd Voltaire;3;Boulonnés;;Dijon;2023;Existant;;"{""coordinates"": [5.050703722980371, 47.31343848532869], ""type"": ""Point""}";47.31343848532869, 5.050703722980371
13 place de la république;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.044707939211495, 47.32721641384706], ""type"": ""Point""}";47.32721641384706, 5.044707939211495
1 place de la République;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.043502704342202, 47.32710695388994], ""type"": ""Point""}";47.32710695388994, 5.043502704342202
5 AV Garibaldi;2;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.043754303500168, 47.32775561005846], ""type"": ""Point""}";47.32775561005846, 5.043754303500168
22 AV Garibaldi;2;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.0438551456748, 47.32862228857567], ""type"": ""Point""}";47.32862228857567, 5.0438551456748
rue Sambin vers la pointe;10;Boulonnés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.041527840528248, 47.32766633863667], ""type"": ""Point""}";47.32766633863667, 5.041527840528248
;12;;;Dijon;2023;Existant;;"{""coordinates"": [5.07344833366357, 47.313098333564355], ""type"": ""Point""}";47.313098333564355, 5.07344833366357
;14;;;Dijon;2023;Existant;;"{""coordinates"": [5.069586678666708, 47.314173519456375], ""type"": ""Point""}";47.314173519456375, 5.069586678666708
;7;;;Dijon;2023;Existant;;"{""coordinates"": [5.067538611595494, 47.31483251734984], ""type"": ""Point""}";47.31483251734984, 5.067538611595494
