Localisation (adresse);Nombre d'arceaux;Type d'attache;Observations;Commune;Année;Type;Nombre d'arceaux supplémentaires;geo_shape;geo_point_2d
6 Bd Gabriel;15;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.063423333347272, 47.313221666990096], ""type"": ""Point""}";47.313221666990096, 5.063423333347272
Faculté;6;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.0639016671850445, 47.31283999997864], ""type"": ""Point""}";47.31283999997864, 5.0639016671850445
Faculté;40;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.0645276178605485, 47.314504713398065], ""type"": ""Point""}";47.314504713398065, 5.0645276178605485
Faculté;12;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.064698332892353, 47.314833333187046], ""type"": ""Point""}";47.314833333187046, 5.064698332892353
;8;;un rateau vélo - 17 vélos;Quetigny;2019;Existant;;"{""coordinates"": [5.1053919275207775, 47.31379165036393], ""type"": ""Point""}";47.31379165036393, 5.1053919275207775
;4;;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.0440100430664145, 47.33604863194692], ""type"": ""Point""}";47.33604863194692, 5.0440100430664145
;2;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.044163729902719, 47.336635832834006], ""type"": ""Point""}";47.336635832834006, 5.044163729902719
56 rue de Jouvence;6;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.038964496402807, 47.33282218984626], ""type"": ""Point""}";47.33282218984626, 5.038964496402807
;8;;;Quetigny;2019;Existant;;"{""coordinates"": [5.11174634285598, 47.31384260042861], ""type"": ""Point""}";47.31384260042861, 5.11174634285598
;2;;;Quetigny;;Existant;;"{""coordinates"": [5.109870563646965, 47.313914809285144], ""type"": ""Point""}";47.313914809285144, 5.109870563646965
;2;;;Quetigny;;Existant;;"{""coordinates"": [5.1099873489048955, 47.31393068748484], ""type"": ""Point""}";47.31393068748484, 5.1099873489048955
;3;;un repose guidon - 6 vélos;Quetigny;;Existant;;"{""coordinates"": [5.102519057299755, 47.31820227309524], ""type"": ""Point""}";47.31820227309524, 5.102519057299755
;11;;;Quetigny;;Existant;;"{""coordinates"": [5.091075057527654, 47.31274581801778], ""type"": ""Point""}";47.31274581801778, 5.091075057527654
;26;;;Quetigny;;Existant;;"{""coordinates"": [5.088080633257145, 47.317342921815765], ""type"": ""Point""}";47.317342921815765, 5.088080633257145
;3;;;Quetigny;;Existant;;"{""coordinates"": [5.111326922624929, 47.313821338524065], ""type"": ""Point""}";47.313821338524065, 5.111326922624929
;5;;;Quetigny;;Existant;;"{""coordinates"": [5.123102019022872, 47.31181369705396], ""type"": ""Point""}";47.31181369705396, 5.123102019022872
AV Gustave Eiffel église ST Chantal;3;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.023479597952569, 47.315430737692374], ""type"": ""Point""}";47.315430737692374, 5.023479597952569
Bd Gabriel/rue de la Planchette;6;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.0642086830771404, 47.315541577848556], ""type"": ""Point""}";47.315541577848556, 5.0642086830771404
13 rue Jean Jean Cornu;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.039809391936499, 47.331878724185465], ""type"": ""Point""}";47.331878724185465, 5.039809391936499
rue marius Chanteur;5;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.063833473977945, 47.33659078849198], ""type"": ""Point""}";47.33659078849198, 5.063833473977945
Gymnase Epirey;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.064475049546544, 47.33675264966998], ""type"": ""Point""}";47.33675264966998, 5.064475049546544
Stade Epirey;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.065510000429993, 47.33740666674762], ""type"": ""Point""}";47.33740666674762, 5.065510000429993
51 rue d'York;1;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.06023611715139, 47.33505425213854], ""type"": ""Point""}";47.33505425213854, 5.06023611715139
35 Bd des Martyrs de la Résistance;4;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.0610127507392475, 47.334738065091656], ""type"": ""Point""}";47.334738065091656, 5.0610127507392475
rue Branly square Lavoisier;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.061442604916962, 47.33240440998702], ""type"": ""Point""}";47.33240440998702, 5.061442604916962
25 rue Félix Trutat;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.051956959623062, 47.32457787869017], ""type"": ""Point""}";47.32457787869017, 5.051956959623062
12 place du 30 Octobre;3;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.051914033114991, 47.32212978264041], ""type"": ""Point""}";47.32212978264041, 5.051914033114991
Av Docteur petitjean;6;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.072254137993475, 47.30755184340326], ""type"": ""Point""}";47.30755184340326, 5.072254137993475
31 place ST Michel;14;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.046056240316344, 47.32131692689532], ""type"": ""Point""}";47.32131692689532, 5.046056240316344
;9;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.045969964070694, 47.32115475057878], ""type"": ""Point""}";47.32115475057878, 5.045969964070694
12 rue Pelletier de Chambure;13;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.050270531325902, 47.32079881686772], ""type"": ""Point""}";47.32079881686772, 5.050270531325902
11 place Wilson;4;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.042458151117876, 47.31590327579026], ""type"": ""Point""}";47.31590327579026, 5.042458151117876
Faculté;8;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.065913333691495, 47.31195499960456], ""type"": ""Point""}";47.31195499960456, 5.065913333691495
2 rue de la Synagogue;4;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.0437460295667735, 47.3172076375493], ""type"": ""Point""}";47.3172076375493, 5.0437460295667735
place Wilson / Chabot Charny;4;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.043239648783604, 47.316912223957196], ""type"": ""Point""}";47.316912223957196, 5.043239648783604
4 rue Févret;7;Boulonnés;;Dijon;2023;Existant;;"{""coordinates"": [5.042377685182237, 47.31656517582262], ""type"": ""Point""}";47.31656517582262, 5.042377685182237
rue Jean Baptiste Baudin;5;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.048083205511716, 47.31755928928305], ""type"": ""Point""}";47.31755928928305, 5.048083205511716
rue des Planchettes;8;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.061207210789331, 47.315667031774], ""type"": ""Point""}";47.315667031774, 5.061207210789331
rue d'Assas/Vannerie;3;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.045697001641621, 47.323864369995334], ""type"": ""Point""}";47.323864369995334, 5.045697001641621
45 Bd Carnot;3;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.049526945823099, 47.320150701235605], ""type"": ""Point""}";47.320150701235605, 5.049526945823099
;3;;Boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.0506670587866305, 47.320900079282175], ""type"": ""Point""}";47.320900079282175, 5.0506670587866305
19 Bd Eugène Spuller;3;Scellés;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.031068793519777, 47.32991443281821], ""type"": ""Point""}";47.32991443281821, 5.031068793519777
36 Bd Eugène Spuller;2;Scellés;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.032336584459708, 47.33028892645867], ""type"": ""Point""}";47.33028892645867, 5.032336584459708
12 rue Montmartre;3;Boulonnés;Boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.032150883857948, 47.326621227021725], ""type"": ""Point""}";47.326621227021725, 5.032150883857948
;3;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.030872374382406, 47.326915278069805], ""type"": ""Point""}";47.326915278069805, 5.030872374382406
;3;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.030604153916351, 47.326078973534706], ""type"": ""Point""}";47.326078973534706, 5.030604153916351
;4;;Boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.029928237719553, 47.326602574531854], ""type"": ""Point""}";47.326602574531854, 5.029928237719553
;4;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.028491897894378, 47.327022471283506], ""type"": ""Point""}";47.327022471283506, 5.028491897894378
;4;;Boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.028803034323991, 47.32734244480489], ""type"": ""Point""}";47.32734244480489, 5.028803034323991
5 rue de Rouen;3;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.031859151121058, 47.33105608477817], ""type"": ""Point""}";47.33105608477817, 5.031859151121058
22 rue guillaume Tell;3;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.028765936386824, 47.32613398714724], ""type"": ""Point""}";47.32613398714724, 5.028765936386824
21ter rue Ledru Rollin;5;Scellés;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.05023764645606, 47.326152841028865], ""type"": ""Point""}";47.326152841028865, 5.05023764645606
7 rue de Fontaine;3;Scellés;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.028574844681511, 47.32786106196188], ""type"": ""Point""}";47.32786106196188, 5.028574844681511
;2;;2 pinces vélos - 2 vélos;Quetigny;;Existant;;"{""coordinates"": [5.104090098608543, 47.31918205871185], ""type"": ""Point""}";47.31918205871185, 5.104090098608543
33 rue de Mulhouse;2;Scellés;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.049347236859194, 47.32561705486559], ""type"": ""Point""}";47.32561705486559, 5.049347236859194
27 rue de Mulhouse;3;Scellés;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.048849687478024, 47.32575068396081], ""type"": ""Point""}";47.32575068396081, 5.048849687478024
;4;;;Quetigny;;Existant;;"{""coordinates"": [5.102829986030836, 47.31869659838164], ""type"": ""Point""}";47.31869659838164, 5.102829986030836
;12;;3 pinces vélos - 24 vélos;Quetigny;2020;Existant;;"{""coordinates"": [5.1167900308218774, 47.311034871497085], ""type"": ""Point""}";47.311034871497085, 5.1167900308218774
;3;;un pince vélo - 6 vélos;Quetigny;;Existant;;"{""coordinates"": [5.116476704471857, 47.309611623694835], ""type"": ""Point""}";47.309611623694835, 5.116476704471857
29 rue de fontaine;3;Scellés;S;Dijon;2023;Existant;;"{""coordinates"": [5.0280181575723635, 47.32954696663152], ""type"": ""Point""}";47.32954696663152, 5.0280181575723635
;3;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.045414892607224, 47.320741641353045], ""type"": ""Point""}";47.320741641353045, 5.045414892607224
;4;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.045253960207148, 47.31998160600826], ""type"": ""Point""}";47.31998160600826, 5.045253960207148
;3;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.043244091408093, 47.31871606967697], ""type"": ""Point""}";47.31871606967697, 5.043244091408093
25 AV Général Touzet;2;Scellés;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.042316666876069, 47.349174999852714], ""type"": ""Point""}";47.349174999852714, 5.042316666876069
8 Rond point de la Nation;3;Scellés;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.046106708295534, 47.34760650753977], ""type"": ""Point""}";47.34760650753977, 5.046106708295534
12 AV Charles Baudelaire;4;Scellés;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.043114388921369, 47.35057834836177], ""type"": ""Point""}";47.35057834836177, 5.043114388921369
27 Bd Charles Baudelaire;3;Scellés;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.042651185168365, 47.35089698339078], ""type"": ""Point""}";47.35089698339078, 5.042651185168365
18 AV de la Concorde;4;Scellés;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.0430075510099215, 47.35213410786266], ""type"": ""Point""}";47.35213410786266, 5.0430075510099215
11 place de la France Libre;3;;scellées;Dijon;2023;Existant;;"{""coordinates"": [5.0394953343506526, 47.35064452691441], ""type"": ""Point""}";47.35064452691441, 5.0394953343506526
;5;;;Quetigny;;Existant;;"{""coordinates"": [5.1201176875814545, 47.31314561327417], ""type"": ""Point""}";47.31314561327417, 5.1201176875814545
7 Place de la France Libre;3;Scellés;scellées;Dijon;2023;Existant;;"{""coordinates"": [5.039655797126863, 47.35022182726301], ""type"": ""Point""}";47.35022182726301, 5.039655797126863
3 Bd Albert Einstein;4;Scellés;scellées;Dijon;2023;Existant;;"{""coordinates"": [5.036188333023622, 47.351518333454024], ""type"": ""Point""}";47.351518333454024, 5.036188333023622
;5;;;Quetigny;;Existant;;"{""coordinates"": [5.125318654048423, 47.31348991932406], ""type"": ""Point""}";47.31348991932406, 5.125318654048423
;5;;;Dijon;2020;Existant;;"{""coordinates"": [5.050401667219771, 47.33606166660639], ""type"": ""Point""}";47.33606166660639, 5.050401667219771
2 place des Savoirs;5;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.068175726286209, 47.33090815221005], ""type"": ""Point""}";47.33090815221005, 5.068175726286209
10 Place Galilée;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.067259929956177, 47.331984801805], ""type"": ""Point""}";47.331984801805, 5.067259929956177
13 Place Galilée;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.067164151333635, 47.3322266011352], ""type"": ""Point""}";47.3322266011352, 5.067164151333635
8 AV Champollion vers le marché;10;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.068275000118999, 47.33266500028905], ""type"": ""Point""}";47.33266500028905, 5.068275000118999
rue des Tanneries devant la poste;4;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.030363399517439, 47.31513416757121], ""type"": ""Point""}";47.31513416757121, 5.030363399517439
place Suquet;10;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.033699397738412, 47.31566201839284], ""type"": ""Point""}";47.31566201839284, 5.033699397738412
1 rue Renoir;2;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.033924472722327, 47.31461798842974], ""type"": ""Point""}";47.31461798842974, 5.033924472722327
12 Place Jacques Prevert;5;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.035072458156906, 47.31413427435776], ""type"": ""Point""}";47.31413427435776, 5.035072458156906
5 rue Louis Jouvet;6;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.035866391851255, 47.3143743131201], ""type"": ""Point""}";47.3143743131201, 5.035866391851255
Parc des Grésilles;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.07289999985705, 47.33385666636727], ""type"": ""Point""}";47.33385666636727, 5.07289999985705
11 rue Castelnau MJC;8;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.074388838996774, 47.331640024072954], ""type"": ""Point""}";47.331640024072954, 5.074388838996774
25 rue de la Boudronnée;4;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.058213111402325, 47.329961259952306], ""type"": ""Point""}";47.329961259952306, 5.058213111402325
51d rue cassin;2;;arceau, sol : pavé;Saint-Apollinaire;2023;Existant;;"{""coordinates"": [5.084877378005872, 47.32756778347699], ""type"": ""Point""}";47.32756778347699, 5.084877378005872
51 rue cassin;3;;arceau, sol : pavé;Saint-Apollinaire;2023;Existant;;"{""coordinates"": [5.0842165077468575, 47.32741220746145], ""type"": ""Point""}";47.32741220746145, 5.0842165077468575
22 Bd de la Marne;6;Scellés;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.051566642840934, 47.328037469098064], ""type"": ""Point""}";47.328037469098064, 5.051566642840934
rue André Malraux / rue de Colmard;8;Scellés;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.051274282215803, 47.32658850156495], ""type"": ""Point""}";47.32658850156495, 5.051274282215803
;5;;;Dijon;;Existant;;"{""coordinates"": [5.015598333896598, 47.325568333287656], ""type"": ""Point""}";47.325568333287656, 5.015598333896598
rue Rollin parc Clémenceau;3;Scellés;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.049497356915294, 47.32686188149401], ""type"": ""Point""}";47.32686188149401, 5.049497356915294
2 rue André Malraux;2;Scellés;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.0501267820330105, 47.327547885285405], ""type"": ""Point""}";47.327547885285405, 5.0501267820330105
;0;;Garage à vélos;Dijon;2023;Existant;;"{""coordinates"": [5.049686119879273, 47.32733662244015], ""type"": ""Point""}";47.32733662244015, 5.049686119879273
11 Bd de Sévigné;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.030815143518622, 47.32252863808686], ""type"": ""Point""}";47.32252863808686, 5.030815143518622
13 place Darcy;3;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.033813853931437, 47.32323590931855], ""type"": ""Point""}";47.32323590931855, 5.033813853931437
vers entrée square Darcy;10;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.033106248401478, 47.32357469699034], ""type"": ""Point""}";47.32357469699034, 5.033106248401478
23 AV Maréchal Foch;10;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.03192747959428, 47.323474612604784], ""type"": ""Point""}";47.323474612604784, 5.03192747959428
;3;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.045265839768774, 47.32758144889384], ""type"": ""Point""}";47.32758144889384, 5.045265839768774
;2;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.0480446089686986, 47.32947215246666], ""type"": ""Point""}";47.32947215246666, 5.0480446089686986
10 Av Maréchal Foch;8;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.030685056993554, 47.32366408535581], ""type"": ""Point""}";47.32366408535581, 5.030685056993554
place du Rosoir entrée square Darcy;3;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.031458874266689, 47.32513767775664], ""type"": ""Point""}";47.32513767775664, 5.031458874266689
11 place Auguste Dubois;3;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.032562836384447, 47.32504969659875], ""type"": ""Point""}";47.32504969659875, 5.032562836384447
30 rue Devosge;2;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.035705636269345, 47.32557010111021], ""type"": ""Point""}";47.32557010111021, 5.035705636269345
4 rue de la Liberté;5;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.035335880652823, 47.32298235940935], ""type"": ""Point""}";47.32298235940935, 5.035335880652823
10 place Grangier;8;Scellés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.036773397869119, 47.323530089510804], ""type"": ""Point""}";47.323530089510804, 5.036773397869119
4 place Grangier;4;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.038036991659877, 47.32338318087159], ""type"": ""Point""}";47.32338318087159, 5.038036991659877
6 rue Mably;8;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.036333515484105, 47.322850094529656], ""type"": ""Point""}";47.322850094529656, 5.036333515484105
1 rue du château;6;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.03687613048165, 47.32265413621699], ""type"": ""Point""}";47.32265413621699, 5.03687613048165
22 rue Odebert;5;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.0391063541512, 47.32330434532129], ""type"": ""Point""}";47.32330434532129, 5.0391063541512
cour D'Honneur;6;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.041673086050689, 47.321494999955185], ""type"": ""Point""}";47.321494999955185, 5.041673086050689
1bis place du Théâtre;11;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.043706238662334, 47.321116965489104], ""type"": ""Point""}";47.321116965489104, 5.043706238662334
place ST Fiacre;7;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.040777831377408, 47.32042796464793], ""type"": ""Point""}";47.32042796464793, 5.040777831377408
27 rue Amiral Roussin;4;;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.040230576130469, 47.31985878116803], ""type"": ""Point""}";47.31985878116803, 5.040230576130469
;4;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.0393084339481105, 47.325614897238225], ""type"": ""Point""}";47.325614897238225, 5.0393084339481105
;3;;Boulonners;Dijon;2023;Existant;;"{""coordinates"": [5.038981204887825, 47.324536156062855], ""type"": ""Point""}";47.324536156062855, 5.038981204887825
10 place St Bernard;2;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.038926144402713, 47.325732799206], ""type"": ""Point""}";47.325732799206, 5.038926144402713
;2;;Boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.0343691647139694, 47.315250898329104], ""type"": ""Point""}";47.315250898329104, 5.0343691647139694
;8;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.04204737724155, 47.32039641939868], ""type"": ""Point""}";47.32039641939868, 5.04204737724155
8 rue Bossuet;6;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.037640041472933, 47.321843533409314], ""type"": ""Point""}";47.321843533409314, 5.037640041472933
;4;;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.036891534193869, 47.32109249047356], ""type"": ""Point""}";47.32109249047356, 5.036891534193869
17 place Bossuet;5;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.037002204497206, 47.320522645161034], ""type"": ""Point""}";47.320522645161034, 5.037002204497206
10 rue Monge;3;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.035917468575496, 47.319922785833676], ""type"": ""Point""}";47.319922785833676, 5.035917468575496
55 rue Monge;5;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.033416676087898, 47.31849999525129], ""type"": ""Point""}";47.31849999525129, 5.033416676087898
122 rue Berbisey;4;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.034006978933566, 47.317475107829885], ""type"": ""Point""}";47.317475107829885, 5.034006978933566
14 place de la République;16;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.045028433072858, 47.32604793950489], ""type"": ""Point""}";47.32604793950489, 5.045028433072858
10 place de la République;10;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.0446815336294994, 47.32616247804213], ""type"": ""Point""}";47.32616247804213, 5.0446815336294994
3 Bd de la Trémouille;5;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.04298101404658, 47.326106117428516], ""type"": ""Point""}";47.326106117428516, 5.04298101404658
13 rue Jean Jacques Rousseau;4;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.0452743029525635, 47.32543433704776], ""type"": ""Point""}";47.32543433704776, 5.0452743029525635
83 rue Jean Jacques Rousseau;5;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.044433961983024, 47.32371587704714], ""type"": ""Point""}";47.32371587704714, 5.044433961983024
6bis rue de la Chouette;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.042295961413164, 47.32259165333392], ""type"": ""Point""}";47.32259165333392, 5.042295961413164
2 place notre dame;10;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.041120787491641, 47.32236867663318], ""type"": ""Point""}";47.32236867663318, 5.041120787491641
3 rue Longepierre;8;;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.042975901754422, 47.321958010706304], ""type"": ""Point""}";47.321958010706304, 5.042975901754422
1 bis Bd de Champagne;10;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.052076217207744, 47.32899047356759], ""type"": ""Point""}";47.32899047356759, 5.052076217207744
26 Bd Georges Clémenceau;9;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.0502805622266305, 47.328181763736154], ""type"": ""Point""}";47.328181763736154, 5.0502805622266305
;4;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.0486753586156174, 47.327601145693805], ""type"": ""Point""}";47.327601145693805, 5.0486753586156174
29 place de la République;2;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.046521530480772, 47.3265536629549], ""type"": ""Point""}";47.3265536629549, 5.046521530480772
;3;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.048004519478374, 47.32057036936822], ""type"": ""Point""}";47.32057036936822, 5.048004519478374
;3;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.048157517374791, 47.304746881962245], ""type"": ""Point""}";47.304746881962245, 5.048157517374791
;6;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.04341537232684, 47.314320192431815], ""type"": ""Point""}";47.314320192431815, 5.04341537232684
3 Bd Clémenceau;3;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.047111198891681, 47.32728549932739], ""type"": ""Point""}";47.32728549932739, 5.047111198891681
18 Bd de la Trémouille;2;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.041199922183454, 47.326000907475574], ""type"": ""Point""}";47.326000907475574, 5.041199922183454
31 Bd de la Trémouille;4;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.040063401262806, 47.32549402428408], ""type"": ""Point""}";47.32549402428408, 5.040063401262806
16 bis Bd de Brosse;2;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.0364129206486155, 47.32462927920086], ""type"": ""Point""}";47.32462927920086, 5.0364129206486155
19 rue Vivant Carion;2;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.040965135977781, 47.31604666554021], ""type"": ""Point""}";47.31604666554021, 5.040965135977781
60 AV du Lac devant le stade;5;Scellés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [4.999170762166807, 47.32379792255368], ""type"": ""Point""}";47.32379792255368, 4.999170762166807
17 Bd de Brosses;8;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.035630777794158, 47.324150077169016], ""type"": ""Point""}";47.324150077169016, 5.035630777794158
lac Kir;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [4.989882577239162, 47.327685780879534], ""type"": ""Point""}";47.327685780879534, 4.989882577239162
63 AV du Lac;5;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.001826219723867, 47.32189400074924], ""type"": ""Point""}";47.32189400074924, 5.001826219723867
26 rue du Château;5;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.038012578887853, 47.324660970822016], ""type"": ""Point""}";47.324660970822016, 5.038012578887853
6bis place de la Banque;7;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.040629400678215, 47.3242364497473], ""type"": ""Point""}";47.3242364497473, 5.040629400678215
parking lac Kir;6;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.00770913205715, 47.32446733292308], ""type"": ""Point""}";47.32446733292308, 5.00770913205715
8 place de la Banque;5;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.040715231999374, 47.32406009067395], ""type"": ""Point""}";47.32406009067395, 5.040715231999374
lac Kir;6;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.006338333299406, 47.3266399999804], ""type"": ""Point""}";47.3266399999804, 5.006338333299406
;6;;scellés;Dijon;2019;Existant;;"{""coordinates"": [5.00535407171403, 47.32073903994909], ""type"": ""Point""}";47.32073903994909, 5.00535407171403
rue des Marcs d'or esplanade;4;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.002920000179798, 47.31404999968792], ""type"": ""Point""}";47.31404999968792, 5.002920000179798
lac Kir;6;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [4.989463333577168, 47.32775333314929], ""type"": ""Point""}";47.32775333314929, 4.989463333577168
